source,category,kind,access,programmatic,endpoint,provides,used_for,data_version,license_terms,known_issues,verified_on,verify_method,verify_result
MRDDA (Ethereal1z),上游程式碼,GitHub repo,git clone,是,https://github.com/Ethereal1z/MRDDA,model.py / load_data.py / utils.py / args.py / main.py + Kdataset 複本,演算法本體(逐行未改),J Transl Med 2025 論文版,⚠️ 無 LICENSE 檔 —— 再散布條件未明確,"argpartition(row,15) 沒取到 top-15;disease_sim 是參考不是複製 → 特徵被塞假的 1.0",2026-07-22,GitHub API /license + /contents,✅ 確認無 LICENSE 檔(API 回 Not Found);最新 commit 668dde8c16b5 (2025-03-14)
REDDA (gu-yaowen),上游資料,GitHub repo,git clone / raw 下載,是,https://github.com/gu-yaowen/REDDA,Kdataset 全部 18 檔(894 藥 × 454 病 + protein/gene/pathway)· disease_similarity.py,人類側全部資料;Wang's method 公式(用於 TNBC 相似度),Comput Biol Med 2022;150:106127,⚠️ 無 LICENSE 檔,disease_disease_baseline 列序與 disease.csv 的 ID 對不上(454 列裡只有 2 列沒位移),2026-07-22,GitHub API /license + 資料列數比對,✅ 無 LICENSE 檔;454 病確認;最新 commit 1852f75f522e (2024-11-11)
DrugBank,原始資料庫,藥物資料庫,經 REDDA 轉手(未直接存取),—,https://go.drugbank.com/drugs/<DBID>,894 個藥的 DrugBank ID + SMILES,藥物節點;化學相似度的輸入,REDDA 2022 快照,"⚠️ 學術/商用分流,商用需授權",本專案的 Name 欄部分曾標錯(DB00361 標 melphalan 實為 vinorelbine),2026-07-22,比對 omics/drug.csv 列數,✅ 894 個藥確認
MeSH (NLM),原始資料庫,醫學詞表,經 REDDA 轉手 + 本專案直接查 SPARQL,是,https://id.nlm.nih.gov/mesh/sparql · https://meshb.nlm.nih.gov/record/ui?ui=<ID>,疾病 ID(D######)+ 樹狀階層 DAG,疾病節點;Wang's method 語意相似度,即時查詢(2026-07),公眾領域(U.S. Government work),—,2026-07-22,SPARQL endpoint 實測 + D064726 查詢,"✅ HTTP 200,可查得 descriptor"
CTD,原始資料庫,化學-基因-疾病關聯庫,經 REDDA 轉手(未直接存取),—,https://ctdbase.org/,"2,704 筆人類藥-病關聯(DrugBank ID × MeSH ID 配對)",人類側訓練正標籤,REDDA 2022 快照,學術免費;商用需授權,—,2026-07-22,比對 associations/Kdataset.csv 原始列數,"✅ 2,704 筆確認"
UniProt,原始資料庫,蛋白質資料庫,經 REDDA 轉手,—,https://www.uniprot.org/,"18,877 個蛋白節點(Q16851 等)",藥→靶點→基因→通路 機制路徑,REDDA 2022 快照,CC BY 4.0,—,2026-07-22,比對 omics/protein.csv + 官方授權頁,"✅ 18,877 個蛋白;CC BY 4.0 官方確認"
NCBI Entrez Gene,原始資料庫,基因資料庫,經 REDDA 轉手,—,https://www.ncbi.nlm.nih.gov/gene/,"20,561 個基因節點",機制路徑,REDDA 2022 快照,公眾領域,—,2026-07-22,比對 omics/gene.csv 列數,"✅ 20,561 個基因確認"
KEGG,原始資料庫,通路資料庫,經 REDDA 轉手,—,https://www.genome.jp/kegg/,314 個通路節點(hsa##### = 人類),機制路徑;機轉相似度,REDDA 2022 快照,⚠️ 商用需授權,—,2026-07-22,比對 omics/pathway.csv + kegg.jp/kegg/legal.html,✅ 314 個通路;官方頁確認「Academic users may freely use」+ commercial license
STRING,原始資料庫,蛋白交互作用庫,經 REDDA 轉手,—,https://string-db.org/,"2,013,782 條蛋白-蛋白交互作用(Combined Score 欄)",圖結構,REDDA 2022 快照,CC BY 4.0,—,2026-07-22,比對 interactions/protein_protein.csv + string-db.org/cgi/access,"✅ 2,013,782 條;CC BY 4.0 官方確認"
ChEMBL,本專案新增,生物活性/藥物適應症庫,REST API,是,https://www.ebi.ac.uk/chembl/api/data/drug_indication?mesh_id=<MeSH>,TNBC(D064726)的 125 筆藥物適應症 + max_phase 臨床階段,data-v2 的 23 筆 TNBC 藥-病關聯(主來源),ChEMBL_37 (release 2026-05-01);2026-07-22 查詢,CC BY-SA 3.0 Unported,"cross_references 不帶 DrugBank ID,需另外用名字/UniChem 對照",2026-07-22,API 實測 + /status 查版本 + 官方文件查授權,✅ HTTP 200;TNBC 125 筆確認;ChEMBL_37 (2026-05-01);CC BY-SA 3.0 Unported 官方確認
